Frame Rate:,25.0000000000
Frame Number,Timecode,content_val,delta_hue,delta_lum,delta_sat
1,00:00:00.040,0.06504991319444445,0.14048936631944445,0.02734375,0.027316623263888888
2,00:00:00.080,0.23023365162037038,0.3186577690972222,0.18568250868055555,0.18636067708333334
3,00:00:00.120,4.871184172453703,5.803087022569445,5.305935329861111,3.5045301649305554
4,00:00:00.160,4.815339265046297,5.862928602430555,5.181803385416667,3.4012858072916665
5,00:00:00.200,4.719798900462963,5.630696614583333,5.154703776041667,3.373996310763889
6,00:00:00.240,4.708405671296297,5.621148003472222,5.121066623263889,3.3830023871527777
7,00:00:00.280,4.831814236111112,6.016927083333333,5.111300998263889,3.367214626736111
8,00:00:00.320,4.777190031828703,5.944308810763889,5.096028645833333,3.291232638888889
9,00:00:00.360,4.790210865162037,5.932752821180555,5.104871961805555,3.3330078125
10,00:00:00.400,4.736771195023148,5.829128689236111,5.051893446180555,3.3292914496527777
11,00:00:00.440,4.700005425347222,5.769097222222222,5.034722222222222,3.2961968315972223
12,00:00:00.480,7.596996166087962,13.739990234375,5.238389756944445,3.8126085069444446
13,00:00:00.520,4.046079282407407,3.9820963541666665,4.935221354166667,3.220920138888889
14,00:00:00.560,4.151566116898148,4.227105034722222,4.941487630208333,3.286105685763889
15,00:00:00.600,4.187282986111112,4.394639756944445,4.943495008680555,3.2237141927083335
16,00:00:00.640,4.1899233217592595,4.427490234375,4.853352864583333,3.2889268663194446
17,00:00:00.680,4.266393590856482,4.680853949652778,4.859727647569445,3.2585991753472223
18,00:00:00.720,4.117856626157407,4.391167534722222,4.706678602430555,3.2557237413194446
19,00:00:00.760,4.040798611111111,4.337293836805555,4.646728515625,3.1383734809027777
20,00:00:00.800,3.9396701388888893,4.206787109375,4.500434027777778,3.111789279513889
21,00:00:00.840,3.8639775028935186,4.209716796875,4.383653428819445,2.998562282986111
22,00:00:00.880,3.806215639467592,4.244032118055555,4.231092664930555,2.9435221354166665
23,00:00:00.920,3.6412037037037037,3.9451768663194446,4.090901692708333,2.8875325520833335
24,00:00:00.960,47.843026620370374,48.59483506944444,40.304524739583336,54.629720052083336
25,00:00:01.000,3.9060781973379632,4.184678819444445,4.709499782986111,2.8240559895833335
26,00:00:01.040,3.8615541811342595,4.106608072916667,4.559027777777778,2.9190266927083335
27,00:00:01.080,3.6569100839120368,3.8111707899305554,4.451931423611111,2.7076280381944446
28,00:00:01.120,3.1989022714120368,3.2394476996527777,3.788330078125,2.5689290364583335
29,00:00:01.160,3.291069878472222,3.4916178385416665,3.819580078125,2.56201171875
30,00:00:01.200,3.348451967592592,3.857638888888889,3.6234537760416665,2.5642632378472223
31,00:00:01.240,3.456190321180556,3.9825575086805554,3.7205132378472223,2.665500217013889
32,00:00:01.280,3.5779622395833335,4.215060763888889,3.849338107638889,2.6694878472222223
33,00:00:01.320,3.472140842013889,3.997531467013889,3.728488498263889,2.690402560763889
34,00:00:01.360,3.664089626736111,4.549858940972222,3.736083984375,2.706325954861111
35,00:00:01.400,3.4845468026620368,4.177870008680555,3.7345106336805554,2.541259765625
36,00:00:01.440,6.213460286458333,10.710042317708334,4.259738498263889,3.6706000434027777
37,00:00:01.480,3.2325846354166665,3.6201714409722223,3.6290961371527777,2.448486328125
38,00:00:01.520,3.2295012297453702,3.830810546875,3.5146484375,2.343044704861111
39,00:00:01.560,3.0621473524305554,3.635986328125,3.246120876736111,2.3043348524305554
40,00:00:01.600,3.042019314236111,3.757297092013889,3.1023763020833335,2.266384548611111
41,00:00:01.640,2.9901891637731475,3.6105143229166665,3.0337456597222223,2.3263075086805554
42,00:00:01.680,3.1599934895833335,4.028645833333333,3.1756998697916665,2.275634765625
43,00:00:01.720,3.2055844907407405,4.109130859375,3.3040093315972223,2.20361328125
44,00:00:01.760,3.488009982638889,4.260036892361111,3.7816569010416665,2.422336154513889
45,00:00:01.800,3.574571397569444,4.37451171875,4.011555989583333,2.337646484375
46,00:00:01.840,3.7924352575231484,4.400960286458333,4.419352213541667,2.5569932725694446
47,00:00:01.880,3.9855776186342595,4.813639322916667,4.6181640625,2.524929470486111
48,00:00:01.920,6.68115234375,11.02492947048611,5.436577690972222,3.5819498697916665
49,00:00:01.960,4.062671802662037,4.070149739583333,5.403049045138889,2.714816623263889
50,00:00:02.000,4.31444408275463,4.157606336805555,5.939181857638889,2.8465440538194446
51,00:00:02.040,4.610224971064814,4.691297743055555,6.205376519097222,2.9340006510416665
52,00:00:02.080,4.821415653935185,4.986626519097222,6.413194444444445,3.064425998263889
53,00:00:02.120,5.0010760271990735,4.931694878472222,6.789225260416667,3.2823079427083335
54,00:00:02.160,5.046938295717593,4.783528645833333,7.029242621527778,3.3280436197916665
55,00:00:02.200,5.182662398726852,5.013264973958333,7.162570529513889,3.3721516927083335
56,00:00:02.240,64.00136537905092,44.02943250868056,69.42282443576389,78.55183919270833
57,00:00:02.280,2.8589228877314814,2.7225206163194446,3.1820746527777777,2.6721733940972223
58,00:00:02.320,2.765688295717593,2.6040852864583335,3.084689670138889,2.6082899305555554
59,00:00:02.360,2.5985333478009256,2.357937282986111,2.972195095486111,2.4654676649305554
60,00:00:02.400,6.004575376157407,10.951036241319445,3.1683756510416665,3.894314236111111
61,00:00:02.440,2.3787073206018516,2.2631293402777777,2.7306586371527777,2.142333984375
62,00:00:02.480,2.353379991319444,2.3305121527777777,2.7235243055555554,2.006103515625
63,00:00:02.520,2.519675925925926,2.4112684461805554,2.9280327690972223,2.2197265625
64,00:00:02.560,2.583722149884259,2.4378255208333335,2.9896918402777777,2.3236490885416665
65,00:00:02.600,2.515444155092593,2.410427517361111,2.9573567708333335,2.1785481770833335
66,00:00:02.640,2.556179470486111,2.43017578125,2.9908582899305554,2.2475043402777777
67,00:00:02.680,2.5021610966435186,2.358127170138889,2.9143608940972223,2.2339952256944446
68,00:00:02.720,2.5391981336805554,2.502224392361111,2.911159939236111,2.2042100694444446
69,00:00:02.760,2.4728099681712963,2.2679578993055554,2.927001953125,2.2234700520833335
70,00:00:02.800,2.5222077546296298,2.5241156684027777,2.9126790364583335,2.1298285590277777
71,00:00:02.840,2.557074652777778,2.4234483506944446,3.0491536458333335,2.1986219618055554
72,00:00:02.880,5.340974030671297,8.525309244791666,3.546630859375,3.9509819878472223
73,00:00:02.920,2.5016637731481484,2.2768012152777777,3.0516764322916665,2.176513671875
74,00:00:02.960,2.6678150318287037,2.2177734375,3.315402560763889,2.4702690972222223
