Frame Rate:,25.0000000000
Frame Number,Timecode,content_val,delta_hue,delta_lum,delta_sat
1,00:00:00.040,0.670627170138889,0.3768174913194444,0.39306640625,1.2419976128472223
2,00:00:00.080,8.22216796875,5.780598958333333,7.726019965277778,11.15988498263889
3,00:00:00.120,1.6423701533564816,1.2944064670138888,0.8646104600694444,2.768093532986111
4,00:00:00.160,0.8138201678240741,0.6864691840277778,0.4988064236111111,1.2561848958333333
5,00:00:00.200,0.6047815393518519,0.4761284722222222,0.43896484375,0.8992513020833334
6,00:00:00.240,0.7625235098379631,0.6599934895833334,0.5372178819444444,1.0903591579861112
7,00:00:00.280,0.5201642071759259,0.4297960069444444,0.24989149305555555,0.8808051215277778
8,00:00:00.320,0.7772894965277778,0.68115234375,0.5609809027777778,1.0897352430555556
9,00:00:00.360,0.8066496672453703,0.6000162760416666,0.6752658420138888,1.1446668836805556
10,00:00:00.400,1.261546947337963,0.8919270833333334,1.00732421875,1.8853895399305556
11,00:00:00.440,0.7249439380787037,0.5053982204861112,0.6109483506944444,1.0584852430555556
12,00:00:00.480,6.068404586226852,6.265435112847222,1.7814398871527777,10.158338758680555
13,00:00:00.520,0.6705638744212963,0.3826226128472222,0.669921875,0.9591471354166666
14,00:00:00.560,0.8145616319444445,0.5640462239583334,0.7805447048611112,1.0990939670138888
15,00:00:00.600,1.2650915075231481,0.9260796440972222,1.122314453125,1.7468804253472223
16,00:00:00.640,0.6378490306712963,0.4865993923611111,0.5239529079861112,0.9029947916666666
17,00:00:00.680,0.29295970775462965,0.2487521701388889,0.1531304253472222,0.4769965277777778
18,00:00:00.720,0.47751193576388884,0.2935384114583333,0.4511176215277778,0.6878797743055556
19,00:00:00.760,0.5147479021990741,0.3732096354166667,0.4328884548611111,0.7381456163194444
20,00:00:00.800,0.7813042534722223,0.5000271267361112,0.6397840711805556,1.2041015625
21,00:00:00.840,0.4305103443287037,0.3348795572916667,0.3081597222222222,0.6484917534722222
22,00:00:00.880,0.217041015625,0.2075466579861111,0.11474609375,0.3288302951388889
23,00:00:00.920,0.36619285300925924,0.23106553819444445,0.279541015625,0.5879720052083334
24,00:00:00.960,4.033438223379629,4.073025173611111,1.4964735243055556,6.530815972222222
25,00:00:01.000,0.7718551070601852,0.5000813802083334,0.5467122395833334,1.2687717013888888
26,00:00:01.040,0.47124565972222227,0.3863661024305556,0.2760145399305556,0.7513563368055556
27,00:00:01.080,0.22377748842592593,0.1843532986111111,0.1314019097222222,0.3555772569444444
28,00:00:01.120,0.42673972800925924,0.2889811197916667,0.2622884114583333,0.7289496527777778
29,00:00:01.160,0.4150119357638889,0.3385145399305556,0.267822265625,0.6386990017361112
30,00:00:01.200,0.6104148582175926,0.5357801649305556,0.402587890625,0.8928765190972222
31,00:00:01.240,0.3120478877314815,0.2218967013888889,0.2152777777777778,0.4989691840277778
32,00:00:01.280,0.23819082754629628,0.15785047743055555,0.146484375,0.4102376302083333
33,00:00:01.320,0.25737847222222227,0.1706000434027778,0.18538411458333334,0.4161512586805556
34,00:00:01.360,0.49638310185185186,0.3876681857638889,0.24153645833333334,0.8599446614583334
35,00:00:01.400,1.6739637586805554,1.2265353732638888,1.24658203125,2.5487738715277777
36,00:00:01.440,5.090621383101852,4.718587239583333,2.6576334635416665,7.895643446180555
37,00:00:01.480,0.34814453125,0.276611328125,0.1438259548611111,0.6239963107638888
38,00:00:01.520,1.6288972077546298,1.2079264322916667,1.1509331597222223,2.52783203125
39,00:00:01.560,1.3230975115740742,1.0616319444444444,0.8420952690972222,2.0655653211805554
40,00:00:01.600,1.4344256365740742,1.3026801215277777,0.82666015625,2.1739366319444446
41,00:00:01.640,0.5195402922453703,0.4005533854166667,0.23719618055555555,0.9208713107638888
42,00:00:01.680,0.1636917679398148,0.11493598090277778,0.06502278645833333,0.3111165364583333
43,00:00:01.720,0.2225115740740741,0.15882703993055555,0.1327853732638889,0.3759223090277778
44,00:00:01.760,0.7931224681712963,0.4123806423611111,0.5392252604166666,1.4277615017361112
45,00:00:01.800,52.230143229166664,28.361246744791668,64.38134765625,63.947835286458336
46,00:00:01.840,1.0997359664351853,0.8072374131944444,0.8084309895833334,1.6835394965277777
47,00:00:01.880,0.4345974392361111,0.3512369791666667,0.21666124131944445,0.7358940972222222
48,00:00:01.920,4.194064670138888,4.309760199652778,1.2770182291666667,6.995415581597222
49,00:00:01.960,1.2378110532407407,0.8241916232638888,1.4870334201388888,1.4022081163194444
