Frame Rate:,25.0000000000
Frame Number,Timecode,content_val,delta_hue,delta_lum,delta_sat
1,00:00:00.040,2.6640715422453702,1.6591796875,3.1175401475694446,3.2154947916666665
2,00:00:00.080,3.7409487123842595,1.9640028211805556,5.027506510416667,4.231336805555555
3,00:00:00.120,8.403627748842593,5.167019314236111,10.631781684027779,9.41208224826389
4,00:00:00.160,8.74365234375,5.414333767361111,11.06003146701389,9.756591796875
5,00:00:00.200,8.571623625578704,5.305447048611111,10.796712239583334,9.612711588541666
6,00:00:00.240,8.689814814814815,5.356797960069445,11.041124131944445,9.671522352430555
7,00:00:00.280,8.653193721064815,5.617594401041667,10.73074001736111,9.611246744791666
8,00:00:00.320,8.483723958333334,5.092529296875,10.812174479166666,9.546468098958334
9,00:00:00.360,8.562870732060185,5.476860894097222,10.715087890625,9.496663411458334
10,00:00:00.400,7.145959924768519,4.461317274305555,9.041124131944445,7.935438368055555
11,00:00:00.440,5.214463975694445,3.0630967881944446,6.714084201388889,5.8662109375
12,00:00:00.480,5.220974392361112,3.2493218315972223,6.285997178819445,6.127604166666667
13,00:00:00.520,4.069444444444444,2.335476345486111,5.224039713541667,4.648817274305555
14,00:00:00.560,3.8004918981481484,2.0055067274305554,5.093804253472222,4.302164713541667
15,00:00:00.600,4.4277524594907405,2.6219618055555554,5.747233072916667,4.9140625
16,00:00:00.640,3.8712565104166665,2.1940104166666665,5.036838107638889,4.382921006944445
17,00:00:00.680,4.618507667824074,2.703884548611111,5.960177951388889,5.191460503472222
18,00:00:00.720,6.247712311921297,3.936550564236111,7.8056640625,7.000922309027778
19,00:00:00.760,7.19310619212963,4.16943359375,9.495198567708334,7.914686414930555
20,00:00:00.800,10.467438874421296,6.616373697916667,13.24221462673611,11.54372829861111
21,00:00:00.840,10.617277922453704,6.680935329861111,13.40549045138889,11.76540798611111
22,00:00:00.880,10.692075376157407,6.908637152777778,13.514078776041666,11.653510199652779
23,00:00:00.920,10.231020326967593,6.475775824652778,13.057047526041666,11.160237630208334
24,00:00:00.960,11.038004557291666,7.27001953125,13.494764539930555,12.349229600694445
25,00:00:01.000,8.969292534722223,5.487657335069445,11.388020833333334,10.03219943576389
26,00:00:01.040,6.10057689525463,3.5471733940972223,7.991861979166667,6.7626953125
27,00:00:01.080,4.860053168402779,2.533447265625,6.495524088541667,5.551188151041667
28,00:00:01.120,3.9394621672453702,2.294406467013889,5.206678602430555,4.317301432291667
29,00:00:01.160,2.7482548466435186,1.529296875,3.5667860243055554,3.148681640625
30,00:00:01.200,1.7282624421296298,1.0906032986111112,2.146267361111111,1.9479166666666667
31,00:00:01.240,3.3030598958333335,1.83251953125,4.375895182291667,3.7007649739583335
32,00:00:01.280,2.2262731481481484,1.3296712239583333,2.843532986111111,2.505615234375
33,00:00:01.320,3.3613823784722228,1.6706814236111112,4.684624565972222,3.7288411458333335
34,00:00:01.360,4.7071307146990735,2.5021158854166665,6.219618055555555,5.399658203125
35,00:00:01.400,3.0226869936342595,1.6921115451388888,3.986572265625,3.389377170138889
36,00:00:01.440,5.31397388599537,3.360107421875,6.317681206597222,6.264133029513889
37,00:00:01.480,3.872450086805556,2.2222222222222223,5.049777560763889,4.345350477430555
38,00:00:01.520,3.4308358651620368,1.8615180121527777,4.610405815972222,3.820583767361111
39,00:00:01.560,4.48829029224537,2.5077311197916665,5.876030815972222,5.081108940972222
40,00:00:01.600,4.8271303530092595,2.803439670138889,6.136528862847222,5.541422526041667
41,00:00:01.640,4.436206958912037,2.5662706163194446,5.830430772569445,4.911919487847222
42,00:00:01.680,5.731400101273148,3.2934027777777777,7.481797960069445,6.418999565972222
43,00:00:01.720,5.4900896990740735,3.2280815972222223,7.1025390625,6.1396484375
44,00:00:01.760,4.391474971064815,2.3528917100694446,5.845458984375,4.97607421875
45,00:00:01.800,3.6395218460648153,1.9772677951388888,4.763346354166667,4.177951388888889
46,00:00:01.840,3.751573350694444,2.1862250434027777,4.737630208333333,4.330864800347222
47,00:00:01.880,4.751066984953703,2.709743923611111,6.224853515625,5.318603515625
48,00:00:01.920,5.039089626736111,3.3458387586805554,5.73388671875,6.037543402777778
49,00:00:01.960,3.4489022714120368,1.8412272135416667,4.518202039930555,3.987277560763889
50,00:00:02.000,4.432481553819445,2.425998263888889,5.934705946180555,4.936740451388889
51,00:00:02.040,2.7506962528935186,1.4044596354166667,3.6746419270833335,3.1729871961805554
52,00:00:02.080,2.673240379050926,1.6260308159722223,3.1915961371527777,3.2020941840277777
53,00:00:02.120,3.9925582320601856,2.1409233940972223,5.421495225694445,4.415256076388889
54,00:00:02.160,5.784785517939814,3.291965060763889,7.6572265625,6.405164930555555
55,00:00:02.200,6.254014756944444,3.6276312934027777,8.11086697048611,7.023546006944445
56,00:00:02.240,6.474365234375,3.7411566840277777,8.508192274305555,7.173746744791667
57,00:00:02.280,6.1729510271990735,3.5735677083333335,8.07766384548611,6.867621527777778
58,00:00:02.320,6.298177083333333,3.570095486111111,8.224609375,7.099826388888889
59,00:00:02.360,5.020941840277778,2.9041883680555554,6.517442491319445,5.641194661458333
60,00:00:02.400,4.981897424768518,3.213406032986111,5.78955078125,5.942735460069445
61,00:00:02.440,3.035545066550926,1.6311848958333333,4.126491970486111,3.3489583333333335
62,00:00:02.480,3.3958333333333335,1.9364691840277777,4.432725694444445,3.8183051215277777
63,00:00:02.520,2.2916757089120368,1.4153645833333333,2.7730034722222223,2.6866590711805554
64,00:00:02.560,2.183349609375,1.3258734809027777,2.6507161458333335,2.573459201388889
65,00:00:02.600,3.2951479311342595,1.9624565972222223,4.243353949652778,3.6796332465277777
66,00:00:02.640,2.946307146990741,1.7725151909722223,3.7644856770833335,3.3019205729166665
67,00:00:02.680,1.3528736255787035,0.76025390625,1.7646755642361112,1.53369140625
68,00:00:02.720,2.4260434751157405,1.4610460069444444,3.053249782986111,2.7638346354166665
69,00:00:02.760,2.2795229311342595,1.2848307291666667,2.862575954861111,2.691162109375
70,00:00:02.800,3.0188892505787037,1.5563693576388888,4.101996527777778,3.3983018663194446
71,00:00:02.840,3.1816496672453702,1.787841796875,4.101209852430555,3.6558973524305554
72,00:00:02.880,4.020381221064815,2.533935546875,4.743028428819445,4.7841796875
73,00:00:02.920,4.2707700376157405,2.1483832465277777,5.907552083333333,4.756374782986111
74,00:00:02.960,4.356843171296297,2.6011827256944446,5.667887369791667,4.801459418402778
75,00:00:03.000,3.503598813657407,2.0161946614583335,4.504069010416667,3.9905327690972223
76,00:00:03.040,3.2873173466435186,1.9482964409722223,4.252224392361111,3.6614312065972223
77,00:00:03.080,3.3198061342592595,2.0149739583333335,4.296088324652778,3.6483561197916665
78,00:00:03.120,3.953984013310185,2.2977973090277777,5.050482855902778,4.513671875
79,00:00:03.160,5.130334924768518,3.1080729166666665,6.593207465277778,5.689724392361111
80,00:00:03.200,5.03687427662037,2.8171929253472223,6.764133029513889,5.529296875
81,00:00:03.240,6.018030237268519,3.5075141059027777,7.696912977430555,6.849663628472222
82,00:00:03.280,5.962764033564814,3.6642523871527777,7.612874348958333,6.611165364583333
83,00:00:03.320,3.9973596643518525,2.392578125,5.189670138888889,4.409830729166667
84,00:00:03.360,3.3975965711805554,2.5128580729166665,3.399441189236111,4.280490451388889
85,00:00:03.400,2.8401783130787037,1.3985188802083333,3.9764811197916665,3.145534939236111
86,00:00:03.440,3.2843786168981484,1.8513454861111112,4.347059461805555,3.6547309027777777
87,00:00:03.480,4.59180591724537,2.8357476128472223,5.775390625,5.164279513888889
