start end
60.8 70.84
79.48 82.48
90.12 91.12
91.68 93.68
98.44 103.92
109.44 112.92
114.12 117.08
164.72 165.76
168.56 171.04
173.16 174.72
178.76 180.92
181.6 183.24
186.56 190.6
191.56 193.64
231.56 237.08
244.0 247.0
258.64 262.8
266.68 273.52
294.24 295.28
300.88 305.6
308.08 317.72
319.72 322.44
324.04 331.48
363.92 371.48
384.16 386.52
389.12 392.04
392.76 393.88
429.4 430.8
