start end
4.04 10.08
60.0 70.04
77.16 128.12
137.92 150.8
151.56 156.4
160.44 175.52
178.4 193.28
194.28 199.2
200.8 202.84
214.64 224.16
226.68 231.56
232.56 235.32
237.16 248.32
251.36 253.48
262.56 273.8
277.92 292.16
294.24 307.12
310.68 326.12
346.44 362.72
364.96 373.96
380.92 390.84
396.68 423.16
434.04 446.36
447.32 455.8
458.32 472.76
476.52 511.88
525.92 542.68
546.6 550.4
552.2 567.12
586.52 600.2
604.04 621.2
637.16 658.92
660.88 672.88
678.24 711.32
712.76 721.08
733.32 736.4
737.16 742.44
747.84 750.68
753.16 756.4
769.36 803.96
805.72 811.72
830.52 847.44
883.8 887.88
888.28 891.4
906.76 915.92
932.04 959.52
976.36 985.6
986.76 996.64
1004.16 1016.08
1027.76 1034.16
1034.84 1048.0
1052.04 1069.48
1080.36 1095.36
1097.44 1107.64
1113.48 1131.76
1132.28 1135.48
1136.4 1141.56
1145.0 1154.88
1161.4 1166.16
1167.48 1173.2
1174.72 1192.28
1195.12 1205.68
1224.52 1228.6
1230.4 1233.28
1236.16 1246.68
1253.6 1258.6
1263.52 1276.72
1294.52 1312.12
1313.64 1323.72
1329.44 1332.4
1332.88 1335.16
1335.64 1341.88
1352.76 1382.32
1387.48 1398.36
1400.56 1403.8
1414.48 1417.08
1421.24 1427.2
1430.16 1433.2
1433.84 1437.68
1438.48 1444.52
1451.04 1453.2
1461.68 1467.24
1473.2 1478.68
1485.12 1487.36
1501.0 1505.44
1508.92 1512.2
1515.32 1520.08
1522.64 1534.96
1555.96 1558.8
1562.16 1576.8
1577.2 1585.76
1592.92 1612.4
1619.44 1636.4
1665.8 1668.36
1671.12 1695.68
1707.48 1726.4
1727.6 1736.32
1739.0 1743.8
1754.44 1767.72
1769.44 1773.68
1778.48 1780.64
1787.8 1812.72
1824.56 1831.68
1833.0 1836.04
1837.64 1840.08
1863.88 1871.16
1872.44 1877.52
1880.8 1886.0
1887.92 1890.6
1892.44 1896.04
1917.48 1927.36
1936.28 1941.2
1951.72 1956.24
1971.44 1978.68
1984.6 2004.2
2014.6 2019.96
2022.52 2037.68
2041.2 2051.4
2066.68 2074.4
2076.04 2078.88
2083.56 2085.68
2101.44 2111.36
2112.84 2115.52
2120.16 2134.72
2141.24 2162.88
2166.36 2171.08
2177.2 2187.72
2201.04 2207.24
2218.4 2226.76
2228.76 2233.88
2239.12 2248.84
2251.36 2262.84
2265.0 2270.68
2286.68 2291.76
2293.92 2319.52
2325.24 2331.48
2333.04 2349.84
2356.2 2366.64
2369.08 2376.68
