start end
920.88 926.24
960.68 967.96
968.84 976.28
996.72 1004.08
1073.16 1076.4
1077.84 1080.28
1217.84 1220.12
1221.96 1224.44
1341.96 1350.84
1427.28 1429.56
1458.6 1461.6
1470.8 1473.12
1496.64 1499.48
1505.52 1508.84
1512.28 1515.24
1520.16 1522.56
1587.28 1589.8
1638.32 1642.36
1781.04 1786.24
1812.8 1815.56
1817.2 1819.84
1841.2 1844.84
1847.68 1855.64
1915.16 1917.4
1946.88 1951.64
2020.04 2022.44
2080.24 2083.48
2117.68 2119.84
2134.8 2138.12
2248.92 2251.28
2262.92 2264.92
2270.76 2274.24
2280.36 2282.76
2319.6 2323.36
2352.12 2356.12
2381.28 2383.72
