FILENAME	OFFSET	CONF
00000.avi	-2	6.206
00001.avi	-2	5.521
00002.avi	-2	4.876
00003.avi	-15	0.664
00004.avi	-2	7.881
00005.avi	-2	5.477
00006.avi	8	1.674
00007.avi	-2	5.745
00008.avi	14	0.244
00009.avi	-2	5.914
00010.avi	-11	2.796
00011.avi	-8	0.393
00012.avi	-2	2.001
00013.avi	-15	1.068
00014.avi	-13	0.623
00015.avi	10	0.391
00016.avi	-2	6.048
00017.avi	-15	0.787
00018.avi	-2	6.397
00019.avi	-15	1.351
00020.avi	-13	0.561
00021.avi	7	0.283
00022.avi	-2	5.654
