start end
14.28 18.6
24.52 27.48
334.52 337.76
487.72 490.44
532.28 535.92
543.96 550.04
554.72 560.04
563.28 566.08
608.72 610.8
781.16 783.56
820.76 822.76
824.6 826.8
861.52 863.6
939.8 942.68
945.64 951.6
958.36 961.32
963.04 966.56
968.8 973.64
1160.92 1163.0
1301.8 1309.52
1373.6 1377.44
1498.16 1500.64
1502.12 1504.32
1511.92 1518.12
1568.52 1572.36
1581.28 1587.56
1595.64 1600.24
1605.48 1610.56
1613.8 1616.92
1620.76 1628.08
1861.84 1865.72
1867.64 1872.48
1993.52 1996.44
1998.8 2002.2
2018.84 2021.44
2035.92 2039.08
2049.56 2054.8
2057.56 2061.92
2065.0 2068.8
2070.68 2073.04
2165.36 2167.8
2198.76 2202.6
2441.8 2443.92
2459.12 2464.92
2468.48 2471.08
2476.28 2483.92
