start end
183.96 187.64
217.08 220.36
236.28 239.28
277.84 281.24
290.48 308.0
348.64 350.84
411.52 414.8
431.56 434.92
461.84 464.52
469.24 471.24
497.24 500.12
525.4 528.64
548.56 551.6
575.64 580.08
595.76 598.76
707.56 709.64
739.28 743.56
766.88 771.0
799.0 801.76
811.8 815.32
844.84 850.08
889.36 891.68
913.24 915.92
975.52 979.2
1027.72 1031.16
1048.88 1051.36
1068.04 1071.56
1120.28 1139.72
1160.52 1164.88
1183.92 1187.8
1250.92 1254.6
1284.76 1288.72
1352.36 1356.52
1374.48 1377.24
1418.04 1421.08
1458.4 1461.96
1480.6 1482.96
1508.32 1512.64
1545.24 1547.88
1582.96 1586.0
1618.96 1622.56
1653.24 1657.0
1689.84 1692.4
1750.6 1754.64
1813.96 1817.16
1826.16 1829.68
1849.2 1852.2
1899.08 1901.52
1928.08 1930.12
1959.0 1962.28
2023.96 2027.52
2071.72 2075.84
2086.52 2091.32
2118.96 2125.08
2195.16 2198.68
2237.0 2241.8
2253.4 2256.6
2279.24 2282.6
2290.32 2292.48
2323.8 2327.0
2352.28 2355.64
2406.48 2410.68
2446.64 2449.48
2563.2 2565.32
2586.92 2591.44
